user_id,song_id,rating,timestamp
103,442,4,2024-06-02 20:39:52.327735
436,279,5,2024-04-16 20:39:52.327735
861,251,5,2024-02-01 20:39:52.327735
271,310,3,2024-05-10 20:39:52.327735
107,208,3,2024-02-13 20:39:52.327735
72,321,3,2024-03-26 20:39:52.327735
701,140,4,2024-07-24 20:39:52.327735
21,280,5,2023-08-25 20:39:52.327735
615,34,4,2023-09-21 20:39:52.327735
122,309,3,2023-08-25 20:39:52.327735
467,392,5,2024-01-19 20:39:52.327735
215,18,2,2023-09-02 20:39:52.327735
331,57,1,2024-01-27 20:39:52.327735
459,112,1,2024-01-26 20:39:52.327735
88,5,3,2023-09-17 20:39:52.327735
373,410,4,2023-10-04 20:39:52.327735
100,414,2,2023-09-04 20:39:52.327735
872,182,5,2024-04-04 20:39:52.327735
664,13,4,2024-02-19 20:39:52.327735
131,339,3,2024-06-22 20:39:52.327735
662,285,4,2024-04-27 20:39:52.327735
309,259,3,2024-05-30 20:39:52.327735
770,90,1,2023-10-19 20:39:52.327735
344,104,1,2024-04-10 20:39:52.327735
492,379,4,2024-06-05 20:39:52.327735
414,186,2,2024-03-13 20:39:52.327735
806,250,5,2024-05-31 20:39:52.327735
386,255,3,2024-07-20 20:39:52.327735
192,76,5,2024-05-01 20:39:52.327735
956,386,1,2023-11-12 20:39:52.327735
277,459,2,2024-01-01 20:39:52.327735
161,108,2,2024-03-04 20:39:52.327735
460,156,5,2023-11-06 20:39:52.327735
314,82,1,2024-06-03 20:39:52.327735
22,77,5,2024-05-22 20:39:52.327735
253,485,4,2023-09-25 20:39:52.327735
748,470,2,2024-02-22 20:39:52.327735
857,460,2,2024-01-06 20:39:52.327735
561,258,4,2023-11-13 20:39:52.327735
475,127,1,2024-07-06 20:39:52.327735
59,485,2,2023-08-26 20:39:52.327735
511,391,3,2023-09-08 20:39:52.327735
682,282,3,2024-03-13 20:39:52.327735
476,474,1,2023-09-29 20:39:52.327735
700,88,4,2023-09-03 20:39:52.327735
976,204,5,2024-07-07 20:39:52.327735
783,16,1,2024-03-04 20:39:52.327735
190,151,5,2024-04-17 20:39:52.327735
958,424,1,2024-02-09 20:39:52.327735
687,254,3,2024-02-11 20:39:52.327735
958,188,4,2024-05-02 20:39:52.327735
563,329,3,2024-05-20 20:39:52.327735
876,32,4,2023-09-21 20:39:52.327735
567,271,5,2024-01-06 20:39:52.327735
244,485,1,2023-11-14 20:39:52.327735
832,397,2,2023-10-11 20:39:52.327735
505,5,2,2024-02-21 20:39:52.327735
131,459,4,2023-08-07 20:39:52.327735
485,330,4,2024-01-08 20:39:52.327735
819,308,3,2024-05-14 20:39:52.327735
647,333,2,2024-02-08 20:39:52.327735
21,169,3,2024-06-06 20:39:52.327735
841,181,5,2023-08-24 20:39:52.327735
167,366,2,2024-07-11 20:39:52.327735
274,178,5,2024-03-28 20:39:52.327735
388,143,1,2024-02-24 20:39:52.327735
601,362,3,2023-08-26 20:39:52.327735
316,248,4,2024-04-26 20:39:52.327735
14,127,2,2023-10-20 20:39:52.327735
242,263,3,2023-12-23 20:39:52.327735
777,40,4,2024-07-13 20:39:52.327735
346,412,1,2024-03-13 20:39:52.327735
565,416,2,2023-08-27 20:39:52.327735
898,355,5,2023-09-05 20:39:52.327735
340,255,1,2023-12-27 20:39:52.327735
92,143,4,2024-01-29 20:39:52.327735
367,240,2,2024-01-11 20:39:52.327735
956,228,2,2024-05-16 20:39:52.327735
455,341,1,2024-03-23 20:39:52.327735
428,198,2,2024-02-10 20:39:52.327735
509,65,4,2024-07-18 20:39:52.327735
776,388,1,2023-12-24 20:39:52.327735
943,11,5,2024-04-14 20:39:52.327735
35,108,1,2024-07-21 20:39:52.327735
206,26,1,2024-05-17 20:39:52.327735
81,445,5,2023-09-19 20:39:52.327735
932,421,4,2024-01-26 20:39:52.327735
562,151,3,2023-11-11 20:39:52.327735
872,221,3,2024-02-24 20:39:52.327735
388,341,5,2024-05-17 20:39:52.327735
2,496,4,2024-05-18 20:39:52.327735
390,237,2,2024-06-29 20:39:52.327735
566,237,5,2024-03-12 20:39:52.327735
106,497,3,2024-01-21 20:39:52.327735
772,219,4,2024-07-24 20:39:52.327735
822,487,1,2024-06-07 20:39:52.327735
477,424,4,2023-10-13 20:39:52.327735
703,461,4,2024-03-24 20:39:52.327735
402,151,3,2023-11-06 20:39:52.327735
730,123,3,2024-04-18 20:39:52.327735
556,144,2,2023-11-16 20:39:52.327735
162,478,2,2024-01-18 20:39:52.327735
202,189,5,2024-01-06 20:39:52.327735
958,255,1,2024-06-07 20:39:52.327735
996,68,2,2023-07-27 20:39:52.327735
270,104,3,2024-07-18 20:39:52.327735
863,336,4,2024-04-14 20:39:52.327735
816,159,5,2024-01-06 20:39:52.327735
271,309,2,2024-06-17 20:39:52.327735
456,362,4,2024-05-12 20:39:52.327735
462,409,4,2024-01-05 20:39:52.327735
727,300,2,2024-01-28 20:39:52.327735
252,396,1,2024-06-20 20:39:52.327735
702,90,1,2023-12-22 20:39:52.327735
296,357,5,2024-03-01 20:39:52.327735
725,256,1,2023-11-10 20:39:52.327735
720,496,5,2024-05-27 20:39:52.327735
749,353,3,2024-07-03 20:39:52.327735
338,220,2,2024-05-19 20:39:52.327735
879,9,4,2024-04-08 20:39:52.327735
53,12,5,2023-09-19 20:39:52.327735
792,325,1,2024-04-30 20:39:52.327735
922,438,5,2024-04-09 20:39:52.327735
217,244,5,2024-03-05 20:39:52.327735
764,182,1,2024-05-05 20:39:52.327735
188,284,1,2024-05-08 20:39:52.327735
380,312,2,2024-02-02 20:39:52.327735
493,99,4,2024-06-01 20:39:52.327735
41,197,2,2024-04-15 20:39:52.327735
157,482,2,2023-12-16 20:39:52.327735
15,366,1,2024-07-07 20:39:52.327735
813,226,1,2023-08-13 20:39:52.327735
65,333,4,2023-10-04 20:39:52.327735
857,103,5,2023-07-28 20:39:52.327735
839,106,2,2023-10-14 20:39:52.327735
521,365,4,2024-05-10 20:39:52.327735
344,368,2,2023-11-02 20:39:52.327735
129,58,5,2024-03-26 20:39:52.327735
648,78,2,2023-10-16 20:39:52.327735
472,75,3,2024-06-29 20:39:52.327735
63,42,4,2024-06-26 20:39:52.327735
139,422,1,2023-08-24 20:39:52.327735
499,324,2,2024-06-03 20:39:52.327735
593,181,4,2024-07-09 20:39:52.327735
392,33,4,2023-11-13 20:39:52.327735
675,71,2,2023-08-08 20:39:52.327735
419,56,1,2024-02-19 20:39:52.327735
289,105,1,2024-02-13 20:39:52.327735
379,200,2,2023-10-13 20:39:52.327735
773,101,4,2023-08-15 20:39:52.327735
490,256,1,2024-04-19 20:39:52.327735
231,307,2,2024-06-21 20:39:52.327735
41,74,2,2023-07-30 20:39:52.327735
28,171,2,2023-12-24 20:39:52.327735
135,377,4,2023-12-12 20:39:52.327735
201,143,1,2024-07-25 20:39:52.327735
840,166,4,2024-03-09 20:39:52.327735
780,399,3,2023-12-20 20:39:52.327735
930,261,1,2023-11-18 20:39:52.327735
33,221,4,2024-05-19 20:39:52.327735
48,83,1,2023-11-19 20:39:52.327735
503,182,3,2023-11-14 20:39:52.327735
407,307,5,2023-08-25 20:39:52.327735
574,10,2,2023-12-29 20:39:52.327735
728,396,4,2024-02-11 20:39:52.327735
805,4,3,2023-09-17 20:39:52.327735
99,351,3,2024-03-02 20:39:52.327735
684,402,1,2024-01-31 20:39:52.327735
872,336,1,2023-10-08 20:39:52.327735
726,488,2,2024-01-12 20:39:52.327735
987,292,1,2024-07-24 20:39:52.327735
547,281,4,2023-08-27 20:39:52.327735
961,215,4,2024-05-09 20:39:52.327735
739,460,4,2023-11-21 20:39:52.327735
613,98,5,2024-01-18 20:39:52.327735
943,420,4,2023-12-21 20:39:52.327735
462,101,1,2023-10-06 20:39:52.327735
643,451,1,2023-12-19 20:39:52.327735
769,9,4,2024-04-20 20:39:52.327735
5,61,3,2024-07-15 20:39:52.327735
218,309,3,2024-06-21 20:39:52.327735
503,146,3,2023-08-05 20:39:52.327735
767,427,2,2024-03-04 20:39:52.327735
398,419,5,2024-04-15 20:39:52.327735
871,63,4,2024-03-09 20:39:52.327735
795,121,2,2023-11-14 20:39:52.327735
393,226,3,2024-07-23 20:39:52.327735
207,105,4,2023-11-16 20:39:52.327735
15,462,2,2024-03-06 20:39:52.327735
858,260,1,2024-04-15 20:39:52.327735
554,349,3,2024-03-24 20:39:52.327735
892,425,2,2024-06-22 20:39:52.327735
461,255,1,2023-11-02 20:39:52.327735
691,429,3,2024-06-28 20:39:52.327735
575,434,5,2024-02-04 20:39:52.327735
864,207,3,2024-07-22 20:39:52.327735
743,28,5,2023-12-16 20:39:52.327735
241,170,5,2024-06-04 20:39:52.327735
564,336,5,2024-04-26 20:39:52.327735
96,76,4,2023-09-06 20:39:52.327735
900,116,4,2024-07-25 20:39:52.327735
734,69,5,2024-05-16 20:39:52.327735
485,354,1,2024-01-18 20:39:52.327735
407,234,5,2023-12-15 20:39:52.327735
231,1,2,2024-07-16 20:39:52.327735
749,167,5,2024-07-19 20:39:52.327735
655,352,4,2024-02-01 20:39:52.327735
171,218,4,2023-12-29 20:39:52.327735
541,273,2,2023-10-23 20:39:52.327735
36,368,2,2024-01-16 20:39:52.327735
525,251,3,2023-11-27 20:39:52.327735
160,347,1,2023-11-14 20:39:52.327735
839,344,1,2023-12-16 20:39:52.327735
699,419,1,2024-03-25 20:39:52.327735
243,174,4,2023-10-01 20:39:52.327735
86,170,1,2024-05-08 20:39:52.327735
796,246,3,2024-07-17 20:39:52.327735
578,423,3,2023-10-07 20:39:52.327735
682,90,1,2024-07-25 20:39:52.327735
557,49,2,2024-01-31 20:39:52.327735
574,446,3,2023-11-28 20:39:52.327735
953,294,2,2024-01-04 20:39:52.327735
646,407,4,2024-07-20 20:39:52.327735
796,150,3,2023-10-22 20:39:52.327735
28,132,2,2024-03-17 20:39:52.327735
620,433,1,2024-04-14 20:39:52.327735
556,59,4,2024-05-25 20:39:52.327735
340,457,5,2023-08-12 20:39:52.327735
798,324,5,2024-05-07 20:39:52.327735
958,199,1,2023-08-14 20:39:52.327735
331,215,4,2024-07-05 20:39:52.327735
640,386,4,2024-01-21 20:39:52.327735
506,49,4,2024-07-13 20:39:52.327735
348,472,4,2023-12-08 20:39:52.327735
473,232,5,2024-04-19 20:39:52.327735
231,247,2,2023-11-21 20:39:52.327735
190,382,4,2024-01-14 20:39:52.327735
225,479,2,2024-07-14 20:39:52.327735
385,239,4,2023-11-12 20:39:52.327735
377,415,3,2023-11-28 20:39:52.327735
283,367,3,2023-11-07 20:39:52.327735
958,168,3,2023-09-28 20:39:52.327735
633,48,4,2024-02-25 20:39:52.327735
628,51,2,2024-06-23 20:39:52.327735
973,299,5,2024-05-08 20:39:52.327735
745,98,1,2024-05-25 20:39:52.327735
259,439,5,2023-10-17 20:39:52.327735
359,216,4,2024-03-01 20:39:52.327735
710,177,3,2023-10-08 20:39:52.327735
456,380,3,2023-09-18 20:39:52.327735
411,474,2,2024-03-14 20:39:52.327735
649,80,4,2023-09-15 20:39:52.327735
318,185,5,2023-09-27 20:39:52.327735
677,367,4,2024-05-10 20:39:52.327735
225,461,4,2024-06-07 20:39:52.327735
819,399,3,2024-07-13 20:39:52.327735
234,27,5,2023-09-21 20:39:52.327735
684,452,1,2024-02-07 20:39:52.327735
664,464,3,2024-04-12 20:39:52.327735
975,448,5,2023-11-26 20:39:52.327735
827,478,2,2023-12-07 20:39:52.327735
374,492,3,2024-02-14 20:39:52.327735
672,414,2,2023-11-01 20:39:52.327735
608,420,3,2024-03-09 20:39:52.327735
472,195,4,2023-08-06 20:39:52.327735
233,214,5,2024-05-27 20:39:52.327735
692,369,2,2023-09-19 20:39:52.327735
113,342,3,2024-07-18 20:39:52.327735
830,114,2,2023-10-08 20:39:52.327735
497,242,3,2024-06-05 20:39:52.327735
442,124,3,2024-02-06 20:39:52.327735
564,305,1,2024-02-29 20:39:52.327735
268,76,1,2024-07-17 20:39:52.327735
510,311,1,2024-07-08 20:39:52.327735
807,469,2,2024-05-19 20:39:52.327735
386,312,4,2024-06-27 20:39:52.327735
387,196,3,2024-05-17 20:39:52.327735
113,351,5,2024-03-29 20:39:52.327735
613,44,1,2024-02-03 20:39:52.327735
625,415,2,2024-01-14 20:39:52.327735
952,186,2,2023-11-06 20:39:52.327735
81,343,2,2024-05-30 20:39:52.327735
699,246,5,2023-08-29 20:39:52.327735
113,437,5,2024-06-25 20:39:52.327735
2,84,1,2023-08-19 20:39:52.327735
642,207,5,2024-04-14 20:39:52.327735
220,151,1,2024-06-08 20:39:52.327735
566,156,5,2024-06-09 20:39:52.327735
855,16,5,2024-02-13 20:39:52.327735
997,165,5,2024-02-14 20:39:52.327735
736,405,1,2024-06-03 20:39:52.327735
225,463,3,2024-02-21 20:39:52.327735
385,145,1,2024-04-24 20:39:52.327735
403,498,3,2023-10-22 20:39:52.327735
638,37,2,2024-06-13 20:39:52.327735
130,333,2,2023-09-07 20:39:52.327735
53,403,1,2023-08-24 20:39:52.327735
684,414,3,2024-03-23 20:39:52.327735
730,45,3,2023-09-08 20:39:52.327735
672,402,3,2024-06-01 20:39:52.327735
710,206,2,2024-05-24 20:39:52.327735
416,62,1,2023-09-18 20:39:52.327735
247,420,4,2024-02-26 20:39:52.327735
836,356,3,2024-05-27 20:39:52.327735
439,468,3,2023-09-26 20:39:52.327735
203,308,4,2024-04-08 20:39:52.327735
184,19,1,2023-12-11 20:39:52.327735
123,365,3,2024-05-06 20:39:52.327735
401,300,1,2024-03-07 20:39:52.327735
767,7,3,2023-10-07 20:39:52.327735
294,249,5,2024-07-17 20:39:52.327735
280,428,3,2024-01-04 20:39:52.327735
837,117,5,2023-11-06 20:39:52.327735
884,68,1,2024-05-21 20:39:52.327735
610,34,3,2024-02-13 20:39:52.327735
198,194,2,2024-03-14 20:39:52.327735
982,325,2,2024-04-08 20:39:52.327735
907,55,4,2024-04-27 20:39:52.327735
511,266,2,2023-09-12 20:39:52.327735
752,480,5,2023-10-23 20:39:52.327735
144,42,2,2023-09-20 20:39:52.327735
609,297,2,2024-02-29 20:39:52.327735
201,461,2,2023-11-09 20:39:52.327735
124,231,3,2024-06-23 20:39:52.327735
187,453,4,2024-03-14 20:39:52.327735
326,378,1,2024-03-04 20:39:52.327735
464,394,4,2024-07-24 20:39:52.327735
349,10,5,2024-05-08 20:39:52.327735
771,358,3,2024-07-02 20:39:52.327735
660,475,3,2023-09-22 20:39:52.327735
764,444,2,2023-12-08 20:39:52.327735
955,128,2,2023-10-04 20:39:52.327735
932,179,5,2023-12-08 20:39:52.327735
403,405,3,2024-01-04 20:39:52.327735
346,392,1,2024-01-03 20:39:52.327735
963,193,4,2024-07-04 20:39:52.327735
511,92,3,2023-11-12 20:39:52.327735
147,369,1,2024-04-30 20:39:52.327735
148,231,1,2023-10-03 20:39:52.327735
864,78,4,2024-06-10 20:39:52.327735
711,85,1,2024-06-21 20:39:52.327735
820,30,5,2023-10-20 20:39:52.327735
489,213,1,2024-07-24 20:39:52.327735
929,49,5,2024-01-08 20:39:52.327735
936,265,1,2023-10-13 20:39:52.327735
640,145,2,2024-06-20 20:39:52.327735
551,69,1,2024-05-28 20:39:52.327735
338,58,5,2023-08-13 20:39:52.327735
872,185,1,2023-09-21 20:39:52.327735
641,62,1,2023-11-26 20:39:52.327735
779,479,1,2024-04-21 20:39:52.327735
988,308,5,2023-10-18 20:39:52.327735
953,445,1,2023-09-23 20:39:52.327735
473,296,4,2024-01-04 20:39:52.327735
946,166,4,2023-12-10 20:39:52.327735
151,171,5,2024-05-30 20:39:52.327735
415,63,2,2023-12-24 20:39:52.327735
990,147,4,2024-01-02 20:39:52.327735
298,484,3,2024-01-22 20:39:52.327735
611,306,4,2023-08-12 20:39:52.327735
263,161,3,2023-12-14 20:39:52.327735
764,141,5,2024-05-10 20:39:52.327735
144,334,2,2024-01-11 20:39:52.327735
346,97,3,2024-07-15 20:39:52.327735
624,446,3,2023-11-23 20:39:52.327735
572,221,4,2023-09-09 20:39:52.327735
881,43,3,2024-02-11 20:39:52.327735
2,433,5,2024-02-11 20:39:52.327735
897,292,5,2023-11-09 20:39:52.327735
304,378,5,2023-11-05 20:39:52.327735
